output_frame_index,sensor_frame_index,sensor_timestamp,actual_exposure_us,analogue_gain,pts_ms,elapsed_ms,frame_unix_ms,frame_time_iso8601,mean_luma
0,29,14909479791000,9992.0,1.00,0.000,722.455,1789131957013.081,2026-09-11T17:05:57.013081+04:00,84.2
1,30,14909493683000,9992.0,1.00,13.892,736.347,1789131957026.973,2026-09-11T17:05:57.026973+04:00,84.2
2,31,14909507575000,9992.0,1.00,27.784,750.239,1789131957040.865,2026-09-11T17:05:57.040865+04:00,84.2
3,35,14909563164000,9992.0,1.00,83.373,805.828,1789131957096.454,2026-09-11T17:05:57.096454+04:00,84.2
4,36,14909577041000,9992.0,1.00,97.250,819.705,1789131957110.331,2026-09-11T17:05:57.110331+04:00,84.2
5,37,14909590937000,9992.0,1.00,111.146,833.601,1789131957124.227,2026-09-11T17:05:57.124227+04:00,84.2
6,41,14909646509000,9992.0,1.00,166.718,889.173,1789131957179.799,2026-09-11T17:05:57.179799+04:00,84.3
7,42,14909660402000,9992.0,1.00,180.611,903.066,1789131957193.692,2026-09-11T17:05:57.193692+04:00,84.3
8,43,14909674297000,9992.0,1.00,194.506,916.961,1789131957207.587,2026-09-11T17:05:57.207587+04:00,84.3
9,47,14909729871000,9992.0,1.00,250.080,972.535,1789131957263.161,2026-09-11T17:05:57.263161+04:00,84.3
10,48,14909743771000,9992.0,1.00,263.980,986.435,1789131957277.061,2026-09-11T17:05:57.277061+04:00,84.3
11,49,14909757656000,9992.0,1.00,277.865,1000.320,1789131957290.946,2026-09-11T17:05:57.290946+04:00,84.3
12,53,14909813231000,9992.0,1.00,333.440,1055.895,1789131957346.521,2026-09-11T17:05:57.346521+04:00,84.2
13,54,14909827122000,9992.0,1.00,347.331,1069.786,1789131957360.412,2026-09-11T17:05:57.360412+04:00,84.2
14,55,14909841017000,9992.0,1.00,361.226,1083.681,1789131957374.307,2026-09-11T17:05:57.374307+04:00,84.2
15,59,14909896591000,9992.0,1.00,416.800,1139.255,1789131957429.881,2026-09-11T17:05:57.429881+04:00,84.1
16,60,14909910483000,9992.0,1.00,430.692,1153.147,1789131957443.773,2026-09-11T17:05:57.443773+04:00,84.1
17,61,14909924376000,9992.0,1.00,444.585,1167.040,1789131957457.666,2026-09-11T17:05:57.457666+04:00,84.1
18,65,14909979952000,9992.0,1.00,500.161,1222.616,1789131957513.242,2026-09-11T17:05:57.513242+04:00,84.1
19,66,14909993843000,9992.0,1.00,514.052,1236.507,1789131957527.133,2026-09-11T17:05:57.527133+04:00,84.1
20,67,14910007736000,9992.0,1.00,527.945,1250.400,1789131957541.026,2026-09-11T17:05:57.541026+04:00,84.1
21,71,14910063311000,9992.0,1.00,583.520,1305.975,1789131957596.601,2026-09-11T17:05:57.596601+04:00,84.2
22,72,14910077203000,9992.0,1.00,597.412,1319.867,1789131957610.493,2026-09-11T17:05:57.610493+04:00,84.3
23,73,14910091097000,9992.0,1.00,611.306,1333.761,1789131957624.387,2026-09-11T17:05:57.624387+04:00,84.3
24,77,14910146671000,9992.0,1.00,666.880,1389.335,1789131957679.961,2026-09-11T17:05:57.679961+04:00,84.5
25,78,14910160564000,9992.0,1.00,680.773,1403.228,1789131957693.854,2026-09-11T17:05:57.693854+04:00,84.5
26,79,14910174457000,9992.0,1.00,694.666,1417.121,1789131957707.747,2026-09-11T17:05:57.707747+04:00,84.5
27,83,14910230032000,9992.0,1.00,750.241,1472.696,1789131957763.322,2026-09-11T17:05:57.763322+04:00,84.6
28,84,14910243924000,9992.0,1.00,764.133,1486.588,1789131957777.214,2026-09-11T17:05:57.777214+04:00,84.6
29,85,14910257817000,9992.0,1.00,778.026,1500.481,1789131957791.107,2026-09-11T17:05:57.791107+04:00,84.6
30,89,14910313392000,9992.0,1.00,833.601,1556.056,1789131957846.682,2026-09-11T17:05:57.846682+04:00,84.6
31,90,14910327284000,9992.0,1.00,847.493,1569.948,1789131957860.574,2026-09-11T17:05:57.860574+04:00,84.7
32,91,14910341178000,9992.0,1.00,861.387,1583.842,1789131957874.468,2026-09-11T17:05:57.874468+04:00,84.7
33,95,14910396753000,9992.0,1.00,916.962,1639.417,1789131957930.043,2026-09-11T17:05:57.930043+04:00,84.9
34,96,14910410645000,9992.0,1.00,930.854,1653.309,1789131957943.935,2026-09-11T17:05:57.943935+04:00,85.0
35,97,14910424539000,9992.0,1.00,944.748,1667.203,1789131957957.829,2026-09-11T17:05:57.957829+04:00,85.0
36,101,14910480113000,9992.0,1.00,1000.322,1722.777,1789131958013.403,2026-09-11T17:05:58.013403+04:00,85.1
37,102,14910494005000,9992.0,1.00,1014.214,1736.669,1789131958027.295,2026-09-11T17:05:58.027295+04:00,85.1
38,103,14910507899000,9992.0,1.00,1028.108,1750.563,1789131958041.189,2026-09-11T17:05:58.041189+04:00,85.1
39,107,14910563474000,9992.0,1.00,1083.683,1806.138,1789131958096.764,2026-09-11T17:05:58.096764+04:00,85.1
40,108,14910577365000,9992.0,1.00,1097.574,1820.029,1789131958110.655,2026-09-11T17:05:58.110655+04:00,85.1
41,109,14910591259000,9992.0,1.00,1111.468,1833.923,1789131958124.549,2026-09-11T17:05:58.124549+04:00,85.1
42,113,14910646834000,9992.0,1.00,1167.043,1889.498,1789131958180.124,2026-09-11T17:05:58.180124+04:00,85.0
43,114,14910660728000,9992.0,1.00,1180.937,1903.392,1789131958194.018,2026-09-11T17:05:58.194018+04:00,84.9
44,115,14910674619000,9992.0,1.00,1194.828,1917.283,1789131958207.909,2026-09-11T17:05:58.207909+04:00,84.9
45,119,14910730196000,9992.0,1.00,1250.405,1972.860,1789131958263.486,2026-09-11T17:05:58.263486+04:00,84.9
46,120,14910744086000,9992.0,1.00,1264.295,1986.750,1789131958277.376,2026-09-11T17:05:58.277376+04:00,84.9
47,121,14910757982000,9992.0,1.00,1278.191,2000.646,1789131958291.272,2026-09-11T17:05:58.291272+04:00,84.8
48,125,14910813557000,9992.0,1.00,1333.766,2056.221,1789131958346.847,2026-09-11T17:05:58.346847+04:00,84.1
49,126,14910827447000,9992.0,1.00,1347.656,2070.111,1789131958360.737,2026-09-11T17:05:58.360737+04:00,84.1
50,127,14910841340000,9992.0,1.00,1361.549,2084.004,1789131958374.630,2026-09-11T17:05:58.374630+04:00,84.2
51,131,14910896915000,9992.0,1.00,1417.124,2139.579,1789131958430.205,2026-09-11T17:05:58.430205+04:00,85.1
52,132,14910910807000,9992.0,1.00,1431.016,2153.471,1789131958444.097,2026-09-11T17:05:58.444097+04:00,85.3
53,133,14910924700000,9992.0,1.00,1444.909,2167.364,1789131958457.990,2026-09-11T17:05:58.457990+04:00,85.4
54,137,14910980276000,9992.0,1.00,1500.485,2222.940,1789131958513.566,2026-09-11T17:05:58.513566+04:00,85.4
55,138,14910994167000,9992.0,1.00,1514.376,2236.831,1789131958527.457,2026-09-11T17:05:58.527457+04:00,85.4
56,139,14911008061000,9992.0,1.00,1528.270,2250.725,1789131958541.351,2026-09-11T17:05:58.541351+04:00,85.4
57,143,14911063637000,9992.0,1.00,1583.846,2306.301,1789131958596.927,2026-09-11T17:05:58.596927+04:00,85.2
58,144,14911077528000,9992.0,1.00,1597.737,2320.192,1789131958610.818,2026-09-11T17:05:58.610818+04:00,85.2
59,145,14911091421000,9992.0,1.00,1611.630,2334.085,1789131958624.711,2026-09-11T17:05:58.624711+04:00,85.2
60,149,14911146995000,9992.0,1.00,1667.204,2389.659,1789131958680.285,2026-09-11T17:05:58.680285+04:00,85.0
61,150,14911160888000,9992.0,1.00,1681.097,2403.552,1789131958694.178,2026-09-11T17:05:58.694178+04:00,85.0
62,151,14911174782000,9992.0,1.00,1694.991,2417.446,1789131958708.072,2026-09-11T17:05:58.708072+04:00,85.0
63,155,14911230356000,9992.0,1.00,1750.565,2473.020,1789131958763.646,2026-09-11T17:05:58.763646+04:00,84.8
64,156,14911244248000,9992.0,1.00,1764.457,2486.912,1789131958777.538,2026-09-11T17:05:58.777538+04:00,84.8
65,157,14911258142000,9992.0,1.00,1778.351,2500.806,1789131958791.432,2026-09-11T17:05:58.791432+04:00,84.8
66,161,14911313717000,9992.0,1.00,1833.926,2556.381,1789131958847.007,2026-09-11T17:05:58.847007+04:00,84.7
67,162,14911327609000,9992.0,1.00,1847.818,2570.273,1789131958860.899,2026-09-11T17:05:58.860899+04:00,84.7
68,163,14911341502000,9992.0,1.00,1861.711,2584.166,1789131958874.792,2026-09-11T17:05:58.874792+04:00,84.7
69,167,14911397078000,9992.0,1.00,1917.287,2639.742,1789131958930.368,2026-09-11T17:05:58.930368+04:00,84.8
70,168,14911410969000,9992.0,1.00,1931.178,2653.633,1789131958944.259,2026-09-11T17:05:58.944259+04:00,84.8
71,169,14911424863000,9992.0,1.00,1945.072,2667.527,1789131958958.153,2026-09-11T17:05:58.958153+04:00,84.9
72,173,14911480438000,9992.0,1.00,2000.647,2723.102,1789131959013.728,2026-09-11T17:05:59.013728+04:00,85.1
73,174,14911494330000,9992.0,1.00,2014.539,2736.994,1789131959027.620,2026-09-11T17:05:59.027620+04:00,85.1
74,175,14911508223000,9992.0,1.00,2028.432,2750.887,1789131959041.513,2026-09-11T17:05:59.041513+04:00,85.1
75,179,14911563800000,9992.0,1.00,2084.009,2806.464,1789131959097.090,2026-09-11T17:05:59.097090+04:00,85.2
76,180,14911577691000,9992.0,1.00,2097.900,2820.355,1789131959110.981,2026-09-11T17:05:59.110981+04:00,85.2
77,181,14911591583000,9992.0,1.00,2111.792,2834.247,1789131959124.873,2026-09-11T17:05:59.124873+04:00,85.1
78,185,14911647158000,9992.0,1.00,2167.367,2889.822,1789131959180.448,2026-09-11T17:05:59.180448+04:00,85.0
79,186,14911661051000,9992.0,1.00,2181.260,2903.715,1789131959194.341,2026-09-11T17:05:59.194341+04:00,85.0
80,187,14911674944000,9992.0,1.00,2195.153,2917.608,1789131959208.234,2026-09-11T17:05:59.208234+04:00,84.9
81,191,14911730518000,9992.0,1.00,2250.727,2973.182,1789131959263.808,2026-09-11T17:05:59.263808+04:00,84.8
82,192,14911744411000,9992.0,1.00,2264.620,2987.075,1789131959277.701,2026-09-11T17:05:59.277701+04:00,84.7
83,193,14911758304000,9992.0,1.00,2278.513,3000.968,1789131959291.594,2026-09-11T17:05:59.291594+04:00,84.7
84,197,14911813879000,9992.0,1.00,2334.088,3056.543,1789131959347.169,2026-09-11T17:05:59.347169+04:00,84.4
85,198,14911827771000,9992.0,1.00,2347.980,3070.435,1789131959361.061,2026-09-11T17:05:59.361061+04:00,84.3
86,199,14911841665000,9992.0,1.00,2361.874,3084.329,1789131959374.955,2026-09-11T17:05:59.374955+04:00,84.3
87,203,14911897240000,9992.0,1.00,2417.449,3139.904,1789131959430.530,2026-09-11T17:05:59.430530+04:00,83.9
88,204,14911911132000,9992.0,1.00,2431.341,3153.796,1789131959444.422,2026-09-11T17:05:59.444422+04:00,83.8
89,205,14911925025000,9992.0,1.00,2445.234,3167.689,1789131959458.315,2026-09-11T17:05:59.458315+04:00,83.8
90,209,14911980600000,9992.0,1.00,2500.809,3223.264,1789131959513.890,2026-09-11T17:05:59.513890+04:00,83.5
91,210,14911994492000,9992.0,1.00,2514.701,3237.156,1789131959527.782,2026-09-11T17:05:59.527782+04:00,83.4
92,211,14912008385000,9992.0,1.00,2528.594,3251.049,1789131959541.675,2026-09-11T17:05:59.541675+04:00,83.4
93,215,14912063960000,9992.0,1.00,2584.169,3306.624,1789131959597.250,2026-09-11T17:05:59.597250+04:00,83.2
94,216,14912077852000,9992.0,1.00,2598.061,3320.516,1789131959611.142,2026-09-11T17:05:59.611142+04:00,83.2
95,217,14912091748000,9992.0,1.00,2611.957,3334.412,1789131959625.038,2026-09-11T17:05:59.625038+04:00,83.2
96,221,14912147320000,9992.0,1.00,2667.529,3389.984,1789131959680.610,2026-09-11T17:05:59.680610+04:00,83.0
97,222,14912161213000,9992.0,1.00,2681.422,3403.877,1789131959694.503,2026-09-11T17:05:59.694503+04:00,83.0
98,223,14912175106000,9992.0,1.00,2695.315,3417.770,1789131959708.396,2026-09-11T17:05:59.708396+04:00,83.0
99,227,14912230680000,9992.0,1.00,2750.889,3473.344,1789131959763.970,2026-09-11T17:05:59.763970+04:00,82.8
100,228,14912244573000,9992.0,1.00,2764.782,3487.237,1789131959777.863,2026-09-11T17:05:59.777863+04:00,82.8
101,229,14912258466000,9992.0,1.00,2778.675,3501.130,1789131959791.756,2026-09-11T17:05:59.791756+04:00,82.8
102,233,14912314041000,9992.0,1.00,2834.250,3556.705,1789131959847.331,2026-09-11T17:05:59.847331+04:00,82.6
103,234,14912327933000,9992.0,1.00,2848.142,3570.597,1789131959861.223,2026-09-11T17:05:59.861223+04:00,82.6
104,235,14912341827000,9992.0,1.00,2862.036,3584.491,1789131959875.117,2026-09-11T17:05:59.875117+04:00,82.6
105,239,14912397402000,9992.0,1.00,2917.611,3640.066,1789131959930.692,2026-09-11T17:05:59.930692+04:00,82.4
106,240,14912411294000,9992.0,1.00,2931.503,3653.958,1789131959944.584,2026-09-11T17:05:59.944584+04:00,82.4
107,241,14912425187000,9992.0,1.00,2945.396,3667.851,1789131959958.477,2026-09-11T17:05:59.958477+04:00,82.3
