output_frame_index,sensor_frame_index,sensor_timestamp,actual_exposure_us,analogue_gain,pts_ms,elapsed_ms,frame_unix_ms,frame_time_iso8601,mean_luma
108,245,14912480764000,9992.0,1.00,3000.973,3723.428,1789131960014.054,2026-09-11T17:06:00.014054+04:00,82.2
109,246,14912494656000,9992.0,1.00,3014.865,3737.320,1789131960027.946,2026-09-11T17:06:00.027946+04:00,82.2
110,247,14912508549000,9992.0,1.00,3028.758,3751.213,1789131960041.839,2026-09-11T17:06:00.041839+04:00,82.2
111,251,14912564123000,9992.0,1.00,3084.332,3806.787,1789131960097.413,2026-09-11T17:06:00.097413+04:00,82.1
112,252,14912578022000,9992.0,1.00,3098.231,3820.686,1789131960111.312,2026-09-11T17:06:00.111312+04:00,82.1
113,253,14912591910000,9992.0,1.00,3112.119,3834.574,1789131960125.200,2026-09-11T17:06:00.125200+04:00,82.1
114,257,14912647487000,9992.0,1.00,3167.696,3890.151,1789131960180.777,2026-09-11T17:06:00.180777+04:00,82.1
115,258,14912661377000,9992.0,1.00,3181.586,3904.041,1789131960194.667,2026-09-11T17:06:00.194667+04:00,82.1
116,259,14912675270000,9992.0,1.00,3195.479,3917.934,1789131960208.560,2026-09-11T17:06:00.208560+04:00,82.1
117,263,14912730844000,9992.0,1.00,3251.053,3973.508,1789131960264.134,2026-09-11T17:06:00.264134+04:00,82.1
118,264,14912744737000,9992.0,1.00,3264.946,3987.401,1789131960278.027,2026-09-11T17:06:00.278027+04:00,82.1
119,265,14912758631000,9992.0,1.00,3278.840,4001.295,1789131960291.921,2026-09-11T17:06:00.291921+04:00,82.1
120,269,14912814207000,9992.0,1.00,3334.416,4056.871,1789131960347.497,2026-09-11T17:06:00.347497+04:00,82.1
121,270,14912828096000,9992.0,1.00,3348.305,4070.760,1789131960361.386,2026-09-11T17:06:00.361386+04:00,82.1
122,271,14912841991000,9992.0,1.00,3362.200,4084.655,1789131960375.281,2026-09-11T17:06:00.375281+04:00,82.2
123,275,14912897566000,9992.0,1.00,3417.775,4140.230,1789131960430.856,2026-09-11T17:06:00.430856+04:00,82.2
124,276,14912911461000,9992.0,1.00,3431.670,4154.125,1789131960444.751,2026-09-11T17:06:00.444751+04:00,82.2
125,277,14912925351000,9992.0,1.00,3445.560,4168.015,1789131960458.641,2026-09-11T17:06:00.458641+04:00,82.2
126,281,14912980926000,9992.0,1.00,3501.135,4223.590,1789131960514.216,2026-09-11T17:06:00.514216+04:00,82.3
127,282,14912994818000,9992.0,1.00,3515.027,4237.482,1789131960528.108,2026-09-11T17:06:00.528108+04:00,82.3
128,283,14913008711000,9992.0,1.00,3528.920,4251.375,1789131960542.001,2026-09-11T17:06:00.542001+04:00,82.3
129,287,14913064285000,9992.0,1.00,3584.494,4306.949,1789131960597.575,2026-09-11T17:06:00.597575+04:00,82.2
130,288,14913078179000,9992.0,1.00,3598.388,4320.843,1789131960611.469,2026-09-11T17:06:00.611469+04:00,82.2
131,289,14913092072000,9992.0,1.00,3612.281,4334.736,1789131960625.362,2026-09-11T17:06:00.625362+04:00,82.2
132,293,14913147649000,9992.0,1.00,3667.858,4390.313,1789131960680.939,2026-09-11T17:06:00.680939+04:00,82.1
133,294,14913161540000,9992.0,1.00,3681.749,4404.204,1789131960694.830,2026-09-11T17:06:00.694830+04:00,82.1
134,295,14913175432000,9992.0,1.00,3695.641,4418.096,1789131960708.722,2026-09-11T17:06:00.708722+04:00,82.0
135,299,14913231010000,9992.0,1.00,3751.219,4473.674,1789131960764.300,2026-09-11T17:06:00.764300+04:00,81.9
136,300,14913244899000,9992.0,1.00,3765.108,4487.563,1789131960778.189,2026-09-11T17:06:00.778189+04:00,81.9
137,301,14913258792000,9992.0,1.00,3779.001,4501.456,1789131960792.082,2026-09-11T17:06:00.792082+04:00,81.9
138,305,14913314370000,9992.0,1.00,3834.579,4557.034,1789131960847.660,2026-09-11T17:06:00.847660+04:00,81.8
139,306,14913328260000,9992.0,1.00,3848.469,4570.924,1789131960861.550,2026-09-11T17:06:00.861550+04:00,81.8
140,307,14913342153000,9992.0,1.00,3862.362,4584.817,1789131960875.443,2026-09-11T17:06:00.875443+04:00,81.8
141,311,14913397729000,9992.0,1.00,3917.938,4640.393,1789131960931.019,2026-09-11T17:06:00.931019+04:00,81.7
142,312,14913411620000,9992.0,1.00,3931.829,4654.284,1789131960944.910,2026-09-11T17:06:00.944910+04:00,81.7
143,313,14913425513000,9992.0,1.00,3945.722,4668.177,1789131960958.803,2026-09-11T17:06:00.958803+04:00,81.7
144,317,14913481088000,9992.0,1.00,4001.297,4723.752,1789131961014.378,2026-09-11T17:06:01.014378+04:00,81.7
145,318,14913494981000,9992.0,1.00,4015.190,4737.645,1789131961028.271,2026-09-11T17:06:01.028271+04:00,81.7
146,319,14913508872000,9992.0,1.00,4029.081,4751.536,1789131961042.162,2026-09-11T17:06:01.042162+04:00,81.7
147,323,14913564448000,9992.0,1.00,4084.657,4807.112,1789131961097.738,2026-09-11T17:06:01.097738+04:00,81.8
148,324,14913578341000,9992.0,1.00,4098.550,4821.005,1789131961111.631,2026-09-11T17:06:01.111631+04:00,81.8
149,325,14913592235000,9992.0,1.00,4112.444,4834.899,1789131961125.525,2026-09-11T17:06:01.125525+04:00,81.8
150,329,14913647811000,9992.0,1.00,4168.020,4890.475,1789131961181.101,2026-09-11T17:06:01.181101+04:00,81.8
151,330,14913661701000,9992.0,1.00,4181.910,4904.365,1789131961194.991,2026-09-11T17:06:01.194991+04:00,81.8
152,331,14913675594000,9992.0,1.00,4195.803,4918.258,1789131961208.884,2026-09-11T17:06:01.208884+04:00,81.8
153,335,14913731171000,9992.0,1.00,4251.380,4973.835,1789131961264.461,2026-09-11T17:06:01.264461+04:00,81.8
154,336,14913745063000,9992.0,1.00,4265.272,4987.727,1789131961278.353,2026-09-11T17:06:01.278353+04:00,81.8
155,337,14913758959000,9992.0,1.00,4279.168,5001.623,1789131961292.249,2026-09-11T17:06:01.292249+04:00,81.8
156,341,14913814529000,9992.0,1.00,4334.738,5057.193,1789131961347.819,2026-09-11T17:06:01.347819+04:00,81.8
157,342,14913828421000,9992.0,1.00,4348.630,5071.085,1789131961361.711,2026-09-11T17:06:01.361711+04:00,81.8
158,343,14913842316000,9992.0,1.00,4362.525,5084.980,1789131961375.606,2026-09-11T17:06:01.375606+04:00,81.8
159,347,14913897891000,9992.0,1.00,4418.100,5140.555,1789131961431.181,2026-09-11T17:06:01.431181+04:00,81.9
160,348,14913911782000,9992.0,1.00,4431.991,5154.446,1789131961445.072,2026-09-11T17:06:01.445072+04:00,81.9
161,349,14913925675000,9992.0,1.00,4445.884,5168.339,1789131961458.965,2026-09-11T17:06:01.458965+04:00,82.0
162,353,14913981251000,9992.0,1.00,4501.460,5223.915,1789131961514.541,2026-09-11T17:06:01.514541+04:00,82.1
163,354,14913995142000,9992.0,1.00,4515.351,5237.806,1789131961528.432,2026-09-11T17:06:01.528432+04:00,82.2
164,355,14914009035000,9992.0,1.00,4529.244,5251.699,1789131961542.325,2026-09-11T17:06:01.542325+04:00,82.2
165,359,14914064610000,9992.0,1.00,4584.819,5307.274,1789131961597.900,2026-09-11T17:06:01.597900+04:00,82.4
166,360,14914078504000,9992.0,1.00,4598.713,5321.168,1789131961611.794,2026-09-11T17:06:01.611794+04:00,82.4
167,361,14914092397000,9992.0,1.00,4612.606,5335.061,1789131961625.687,2026-09-11T17:06:01.625687+04:00,82.4
168,365,14914147973000,9992.0,1.00,4668.182,5390.637,1789131961681.263,2026-09-11T17:06:01.681263+04:00,82.4
169,366,14914161862000,9992.0,1.00,4682.071,5404.526,1789131961695.152,2026-09-11T17:06:01.695152+04:00,82.5
170,367,14914175756000,9992.0,1.00,4695.965,5418.420,1789131961709.046,2026-09-11T17:06:01.709046+04:00,82.6
171,371,14914231333000,9992.0,1.00,4751.542,5473.997,1789131961764.623,2026-09-11T17:06:01.764623+04:00,83.1
172,372,14914245224000,9992.0,1.00,4765.433,5487.888,1789131961778.514,2026-09-11T17:06:01.778514+04:00,83.2
173,373,14914259116000,9992.0,1.00,4779.325,5501.780,1789131961792.406,2026-09-11T17:06:01.792406+04:00,83.4
174,377,14914314689000,9992.0,1.00,4834.898,5557.353,1789131961847.979,2026-09-11T17:06:01.847979+04:00,83.9
175,378,14914328583000,9992.0,1.00,4848.792,5571.247,1789131961861.873,2026-09-11T17:06:01.861873+04:00,83.9
176,379,14914342478000,9992.0,1.00,4862.687,5585.142,1789131961875.768,2026-09-11T17:06:01.875768+04:00,84.0
177,383,14914398054000,9992.0,1.00,4918.263,5640.718,1789131961931.344,2026-09-11T17:06:01.931344+04:00,83.8
178,384,14914411944000,9992.0,1.00,4932.153,5654.608,1789131961945.234,2026-09-11T17:06:01.945234+04:00,83.8
179,385,14914425837000,9992.0,1.00,4946.046,5668.501,1789131961959.127,2026-09-11T17:06:01.959127+04:00,83.7
180,389,14914481413000,9992.0,1.00,5001.622,5724.077,1789131962014.703,2026-09-11T17:06:02.014703+04:00,83.7
181,390,14914495305000,9992.0,1.00,5015.514,5737.969,1789131962028.595,2026-09-11T17:06:02.028595+04:00,83.7
182,391,14914509197000,9992.0,1.00,5029.406,5751.861,1789131962042.487,2026-09-11T17:06:02.042487+04:00,83.6
183,395,14914564773000,9992.0,1.00,5084.982,5807.437,1789131962098.063,2026-09-11T17:06:02.098063+04:00,83.7
184,396,14914578666000,9992.0,1.00,5098.875,5821.330,1789131962111.956,2026-09-11T17:06:02.111956+04:00,83.7
185,397,14914592558000,9992.0,1.00,5112.767,5835.222,1789131962125.848,2026-09-11T17:06:02.125848+04:00,83.7
186,401,14914648132000,9992.0,1.00,5168.341,5890.796,1789131962181.422,2026-09-11T17:06:02.181422+04:00,83.7
187,402,14914662024000,9992.0,1.00,5182.233,5904.688,1789131962195.314,2026-09-11T17:06:02.195314+04:00,83.7
188,403,14914675919000,9992.0,1.00,5196.128,5918.583,1789131962209.209,2026-09-11T17:06:02.209209+04:00,83.6
189,407,14914731495000,9992.0,1.00,5251.704,5974.159,1789131962264.785,2026-09-11T17:06:02.264785+04:00,83.5
190,408,14914745385000,9992.0,1.00,5265.594,5988.049,1789131962278.675,2026-09-11T17:06:02.278675+04:00,83.5
191,409,14914759280000,9992.0,1.00,5279.489,6001.944,1789131962292.570,2026-09-11T17:06:02.292570+04:00,83.5
192,413,14914814857000,9992.0,1.00,5335.066,6057.521,1789131962348.147,2026-09-11T17:06:02.348147+04:00,83.3
193,414,14914828747000,9992.0,1.00,5348.956,6071.411,1789131962362.037,2026-09-11T17:06:02.362037+04:00,83.4
194,415,14914842638000,9992.0,1.00,5362.847,6085.302,1789131962375.928,2026-09-11T17:06:02.375928+04:00,83.4
195,419,14914898216000,9992.0,1.00,5418.425,6140.880,1789131962431.506,2026-09-11T17:06:02.431506+04:00,83.5
196,420,14914912105000,9992.0,1.00,5432.314,6154.769,1789131962445.395,2026-09-11T17:06:02.445395+04:00,83.5
197,421,14914925999000,9992.0,1.00,5446.208,6168.663,1789131962459.289,2026-09-11T17:06:02.459289+04:00,83.5
198,425,14914981576000,9992.0,1.00,5501.785,6224.240,1789131962514.866,2026-09-11T17:06:02.514866+04:00,83.5
199,426,14914995466000,9992.0,1.00,5515.675,6238.130,1789131962528.756,2026-09-11T17:06:02.528756+04:00,83.4
200,427,14915009359000,9992.0,1.00,5529.568,6252.023,1789131962542.649,2026-09-11T17:06:02.542649+04:00,83.4
201,431,14915064934000,9992.0,1.00,5585.143,6307.598,1789131962598.224,2026-09-11T17:06:02.598224+04:00,83.2
202,432,14915078827000,9992.0,1.00,5599.036,6321.491,1789131962612.117,2026-09-11T17:06:02.612117+04:00,83.1
203,433,14915092719000,9992.0,1.00,5612.928,6335.383,1789131962626.009,2026-09-11T17:06:02.626009+04:00,83.1
204,437,14915148294000,9992.0,1.00,5668.503,6390.958,1789131962681.584,2026-09-11T17:06:02.681584+04:00,82.9
205,438,14915162189000,9992.0,1.00,5682.398,6404.853,1789131962695.479,2026-09-11T17:06:02.695479+04:00,82.9
206,439,14915176080000,9992.0,1.00,5696.289,6418.744,1789131962709.370,2026-09-11T17:06:02.709370+04:00,82.9
207,443,14915231657000,9992.0,1.00,5751.866,6474.321,1789131962764.947,2026-09-11T17:06:02.764947+04:00,83.0
208,444,14915245548000,9992.0,1.00,5765.757,6488.212,1789131962778.838,2026-09-11T17:06:02.778838+04:00,83.0
209,445,14915259442000,9992.0,1.00,5779.651,6502.106,1789131962792.732,2026-09-11T17:06:02.792732+04:00,83.0
210,449,14915315019000,9992.0,1.00,5835.228,6557.683,1789131962848.309,2026-09-11T17:06:02.848309+04:00,83.1
211,450,14915328907000,9992.0,1.00,5849.116,6571.571,1789131962862.197,2026-09-11T17:06:02.862197+04:00,83.1
212,451,14915342800000,9992.0,1.00,5863.009,6585.464,1789131962876.090,2026-09-11T17:06:02.876090+04:00,83.1
213,455,14915398382000,9992.0,1.00,5918.591,6641.046,1789131962931.672,2026-09-11T17:06:02.931672+04:00,83.2
214,456,14915412268000,9992.0,1.00,5932.477,6654.932,1789131962945.558,2026-09-11T17:06:02.945558+04:00,83.2
215,457,14915426161000,9992.0,1.00,5946.370,6668.825,1789131962959.451,2026-09-11T17:06:02.959451+04:00,83.2
216,461,14915481736000,9992.0,1.00,6001.945,6724.400,1789131963015.026,2026-09-11T17:06:03.015026+04:00,83.3
217,462,14915495630000,9992.0,1.00,6015.839,6738.294,1789131963028.920,2026-09-11T17:06:03.028920+04:00,83.4
218,463,14915509521000,9992.0,1.00,6029.730,6752.185,1789131963042.811,2026-09-11T17:06:03.042811+04:00,83.4
219,467,14915565095000,9992.0,1.00,6085.304,6807.759,1789131963098.385,2026-09-11T17:06:03.098385+04:00,83.4
220,468,14915578988000,9992.0,1.00,6099.197,6821.652,1789131963112.278,2026-09-11T17:06:03.112278+04:00,83.4
221,469,14915592881000,9992.0,1.00,6113.090,6835.545,1789131963126.171,2026-09-11T17:06:03.126171+04:00,83.5
222,473,14915648456000,9992.0,1.00,6168.665,6891.120,1789131963181.746,2026-09-11T17:06:03.181746+04:00,83.6
223,474,14915662349000,9992.0,1.00,6182.558,6905.013,1789131963195.639,2026-09-11T17:06:03.195639+04:00,83.6
224,475,14915676242000,9992.0,1.00,6196.451,6918.906,1789131963209.532,2026-09-11T17:06:03.209532+04:00,83.6
225,479,14915731818000,9992.0,1.00,6252.027,6974.482,1789131963265.108,2026-09-11T17:06:03.265108+04:00,83.7
226,480,14915745708000,9992.0,1.00,6265.917,6988.372,1789131963278.998,2026-09-11T17:06:03.278998+04:00,83.7
