sensor_frame_index,sensor_timestamp,actual_exposure_us,requested_exposure_us,analogue_gain,stream,output_frame_index,pts_ms,elapsed_ms,frame_unix_ms,recording_start_iso8601,frame_time_iso8601,mean_luma
35,14909563164000,9992.0,10000,1.00,A,3,805.828,805.828,1789131957096.454,2026-09-11T17:05:56.290626+04:00,2026-09-11T17:05:57.096454+04:00,84.2
36,14909577041000,9992.0,10000,1.00,A,4,819.705,819.705,1789131957110.331,2026-09-11T17:05:56.290626+04:00,2026-09-11T17:05:57.110331+04:00,84.2
37,14909590937000,9992.0,10000,1.00,A,5,833.601,833.601,1789131957124.227,2026-09-11T17:05:56.290626+04:00,2026-09-11T17:05:57.124227+04:00,84.2
38,14909604829000,994.0,1000,1.00,B,3,847.493,847.493,1789131957138.119,2026-09-11T17:05:56.290626+04:00,2026-09-11T17:05:57.138119+04:00,15.5
39,14909618721000,994.0,1000,1.00,B,4,861.385,861.385,1789131957152.011,2026-09-11T17:05:56.290626+04:00,2026-09-11T17:05:57.152011+04:00,15.5
40,14909632614000,994.0,1000,1.00,B,5,875.278,875.278,1789131957165.904,2026-09-11T17:05:56.290626+04:00,2026-09-11T17:05:57.165904+04:00,15.5
41,14909646509000,9992.0,10000,1.00,A,6,889.173,889.173,1789131957179.799,2026-09-11T17:05:56.290626+04:00,2026-09-11T17:05:57.179799+04:00,84.3
42,14909660402000,9992.0,10000,1.00,A,7,903.066,903.066,1789131957193.692,2026-09-11T17:05:56.290626+04:00,2026-09-11T17:05:57.193692+04:00,84.3
43,14909674297000,9992.0,10000,1.00,A,8,916.961,916.961,1789131957207.587,2026-09-11T17:05:56.290626+04:00,2026-09-11T17:05:57.207587+04:00,84.3
44,14909688189000,994.0,1000,1.00,B,6,930.853,930.853,1789131957221.479,2026-09-11T17:05:56.290626+04:00,2026-09-11T17:05:57.221479+04:00,15.5
45,14909702082000,994.0,1000,1.00,B,7,944.746,944.746,1789131957235.372,2026-09-11T17:05:56.290626+04:00,2026-09-11T17:05:57.235372+04:00,15.5
46,14909715975000,994.0,1000,1.00,B,8,958.639,958.639,1789131957249.265,2026-09-11T17:05:56.290626+04:00,2026-09-11T17:05:57.249265+04:00,15.5
47,14909729871000,9992.0,10000,1.00,A,9,972.535,972.535,1789131957263.161,2026-09-11T17:05:56.290626+04:00,2026-09-11T17:05:57.263161+04:00,84.3
48,14909743771000,9992.0,10000,1.00,A,10,986.435,986.435,1789131957277.061,2026-09-11T17:05:56.290626+04:00,2026-09-11T17:05:57.277061+04:00,84.3
49,14909757656000,9992.0,10000,1.00,A,11,1000.320,1000.320,1789131957290.946,2026-09-11T17:05:56.290626+04:00,2026-09-11T17:05:57.290946+04:00,84.3
50,14909771550000,994.0,1000,1.00,B,9,1014.214,1014.214,1789131957304.840,2026-09-11T17:05:56.290626+04:00,2026-09-11T17:05:57.304840+04:00,15.6
