time_s,valid,tx_mm,ty_mm,tz_mm,qx,qy,qz,qw,err
0.0,False,,,,,,,,
0.013892,False,,,,,,,,
0.027784,False,,,,,,,,
0.083373,True,618.5932589557353,-121.33717194700546,1038.2938873572768,0.10981023863671055,0.05884346612149853,0.007613836811369017,0.9921800176754048,1.487518982725786
0.09725,True,606.8287059151222,-121.85833797556546,1022.8119584672218,0.10736561081028914,0.04169264539065518,0.006735168011657759,0.9933221966952703,1.2571259738742524
0.111146,True,599.3402524911328,-123.43895148947891,1016.7777775395963,0.1042246470782998,0.03558492494221586,0.006723515374772567,0.993894224955184,1.1372064619456623
0.16671799999999998,True,572.6421838450298,-127.97461535102458,998.6659978199058,0.09416267177201428,0.016035512768709563,0.0060225609443843265,0.9954094546138648,0.7660153913137339
0.180611,True,568.0231388714463,-129.11515405152699,998.7707455668349,0.09249630605495013,0.015321501946105301,0.0038126854107492034,0.9955878406118985,0.7522514203195363
0.194506,True,561.1088841271492,-128.8795965431582,993.7811682690508,0.09321759380715204,0.007471502302412628,0.0002648198808153672,0.9956176910484167,0.6631077176341676
0.25008,True,539.6411622974621,-129.83487619674375,990.3767019053722,0.08718320362149,-0.006297308617742337,-0.020000737717584156,0.995971587647569,0.8201939832033458
0.26398,True,534.6959108098566,-129.73186689503083,990.7666187456992,0.08781095145782741,-0.007885154943808885,-0.02477515783354629,0.9957977970903059,0.8356936588495927
0.27786500000000003,True,528.970236558911,-128.6542377971707,989.1821223168569,0.09059716237446885,-0.012896531899185404,-0.0284215857472361,0.9953984363551511,0.9290294252684511
0.33344,True,508.2398067830488,-123.41708008919257,990.4449701519009,0.10517816235549869,-0.02784007173169383,-0.03485538937402824,0.9934523573886568,1.2349350894835274
0.347331,True,502.32348522017537,-121.48147349211068,989.2147871908217,0.11298292295879173,-0.03332053324321694,-0.034696667954446606,0.9924317318672021,1.4004556925764262
0.361226,True,496.024992430896,-119.16254223808417,987.505525403212,0.1191319589045481,-0.038742316070987826,-0.033747614483893705,0.9915481369200727,1.443788174266062
0.4168,True,474.037398281179,-111.37462167134642,986.3658809009012,0.1475749208058776,-0.05405094870560139,-0.03071096557831961,0.9870952204759228,1.942089676932399
0.430692,True,467.5827567627878,-109.39595982062932,984.5387072368239,0.15323976051440444,-0.06144568532534251,-0.029260443117019756,0.9858427004451484,2.1209229208786615
0.44458499999999995,True,465.55469247757486,-109.52063824620183,992.043333140587,0.25937680866389584,-0.039770057267160625,-0.02528372177309828,0.9646257031022966,2.0679965940785094
0.500161,True,443.70216027341274,-101.14703916073742,991.5616039789522,0.2859414828124408,-0.05414871396601377,-0.009338569591172177,0.9566703592674126,1.806393111608533
0.5140520000000001,True,438.3865551536842,-98.83690887021851,991.8576749155428,0.29303958843588557,-0.05533087299764194,-0.005200947023962366,0.9544837579826592,1.704080221916612
0.527945,True,434.28599278597864,-96.7263411351387,995.1591268322462,0.30095847328684705,-0.05633771328803109,-0.0013644439877701794,0.9519706916239229,1.6113358053327294
0.5835199999999999,True,411.820979486928,-85.50963364842332,993.042645791939,0.33200699257240157,-0.0751257318436616,0.015933846946826067,0.9401455173639125,1.0695070714140789
0.597412,True,406.8065199696891,-82.17663662691463,994.8440046897342,0.3445399973515239,-0.07875189321141908,0.021704618551425428,0.9352107992715687,0.9262388601738917
0.611306,True,402.3656600164875,-79.09052610766948,997.1839426430016,0.35463178758135583,-0.08014009970677162,0.025072150465495283,0.9312278168777371,0.7921924765087447
0.66688,True,382.6621675189259,-64.46162647573856,999.3381163183144,0.39113359171398254,-0.09194132869949254,0.04660252528921692,0.9145433342092432,0.44086981686285404
0.6807730000000001,True,378.8928064380253,-60.820908294148005,1002.8029380512347,0.397207883016261,-0.09252798933775264,0.05118046658046829,0.911616711507341,0.38202761157093923
0.694666,True,373.6021875769442,-56.68874470851636,1000.0434292064941,0.40346754197119156,-0.09568497047763724,0.05672524558522147,0.9082073416977616,0.3079830459796976
0.7502409999999999,True,356.7649016285908,-40.21916829630733,1004.8172214044769,0.4251320471876032,-0.1073396957570212,0.07738552023702441,0.8954062839999017,0.2552973088052578
0.7641330000000001,True,352.6804337049631,-35.7821862815745,1005.2278160682419,0.43193532516859934,-0.1106947371932983,0.08271200174786511,0.8912560096830002,0.2103467820010981
0.778026,True,348.1534282761983,-31.149865706972065,1005.8003322942484,0.43955397079934694,-0.11367168750608247,0.08848422130907188,0.8865898695526436,0.2727113021506134
0.833601,True,331.23205270150504,-10.722316526787116,1005.8839940139165,0.4610509651559171,-0.1264938018034245,0.1058995160279496,0.8719040188800367,0.2848225883590534
0.847493,True,326.51019018078813,-5.070908038676934,1002.9314561541152,0.4606015155059809,-0.131866266738293,0.10863291850822894,0.8710088522090252,0.3330576204557872
0.8613869999999999,True,322.8525865651428,0.5419269518549912,1003.9091084099821,0.45847648306801386,-0.13465786636544896,0.10972983140250689,0.8715652228031288,0.3377934222066232
0.9169619999999999,True,308.95389833507073,20.739694451734742,1002.5413789164318,0.4323038597545095,-0.15793266813930437,0.1073440690660003,0.8812762881254138,0.2890263551068388
0.9308540000000001,True,306.49088204836954,25.536096250405755,1002.8417827559371,0.4252292412126106,-0.16367784932681986,0.10491252280403565,0.883958718841772,0.29674585161929384
0.944748,True,304.1190759437416,30.658243511065955,1003.1320116228779,0.4198769251531536,-0.16933453659287656,0.10357787873896156,0.8856075911354564,0.26980802480088184
1.000322,True,292.7906631444741,47.67335191732678,1001.1085952626192,0.4060960672241068,-0.2011118135873522,0.09751004522105552,0.8860766409863808,0.28015678311047043
1.014214,True,290.1625184127249,51.74382442240199,1001.1059137617568,0.4048713652401489,-0.21214076820749808,0.09889592228622383,0.8839089707815323,0.1942354308881557
1.028108,True,287.9530086559177,55.4718280961164,1001.5311338299246,0.4013050706775833,-0.2225364135253656,0.09878674955235499,0.8829909189887558,0.21651090017369823
1.083683,True,279.1925026562333,69.58428964407128,1001.0549207318247,0.3887297575024187,-0.2715591394141332,0.10354524038498626,0.8743129832196143,0.18346165817617238
1.097574,True,277.41041706398016,72.5116887279612,1002.5137045970117,0.38710868826336714,-0.2833735488157254,0.1048195561394128,0.8711252240368967,0.0844003189389972
1.1114680000000001,True,275.51379620692103,75.56893668522494,1001.8454150110141,0.38546783139498164,-0.2959708643627336,0.1074226098619056,0.8673385620958423,0.1243899394910179
1.1670429999999998,True,267.4384677352645,86.62872969742763,997.8568919057134,0.3755379515456884,-0.3409640179612567,0.11675199266621424,0.8538640158790228,0.08468155480818106
1.180937,True,266.0087939708967,88.73155493109884,996.9745756870758,0.3712087910766041,-0.3521564943808088,0.11964252032615323,0.8508087353940788,0.010208448232698905
1.194828,True,265.08314728682825,91.20026173770756,998.067351272244,0.3646552426452397,-0.36315756703278995,0.12239473919794205,0.8486239823000724,0.11055806686041539
1.250405,True,260.49453014242096,98.29730008885983,995.702807076805,0.33580003249080104,-0.410398806631491,0.13299971633305133,0.8373304205329895,0.11942786830099847
1.2642950000000002,True,259.4283740305324,99.34995117249382,994.2942181074586,0.3308827830602675,-0.42145946304710313,0.13546587850265038,0.833389165182656,0.08861896600577766
1.278191,True,258.11307916866957,100.51168351230949,991.3753424617793,0.32763467508451943,-0.4326571453865228,0.13931765093940382,0.8282837112758967,0.2466132767725533
1.333766,True,254.9509052878296,102.37988392927846,981.7403620100002,0.2992537294773816,-0.47629846422518146,0.14713051051544182,0.8135967006115974,1.3082929186452328
1.347656,False,,,,,,,,
1.361549,False,,,,,,,,
1.417124,False,,,,,,,,
1.431016,False,,,,,,,,
1.444909,True,246.26725999879076,107.11742404550048,1012.0381866833073,0.32190630345734833,-0.560256798270254,0.22314866256522287,0.7298584288625718,0.05884150474105217
1.5004849999999998,True,238.89836924558216,109.82101933872674,1011.2214653183986,0.31983431788657,-0.5894958427431819,0.24569160522650682,0.6998830585260374,0.07950543911845702
1.514376,True,237.31791465688633,111.12918918903402,1013.6870668552568,0.31864046434837884,-0.5972670993520948,0.2504172584076636,0.692120988847307,0.12166359111169334
1.52827,True,235.07587904682507,111.51780881496643,1010.9534422772998,0.31655579162934755,-0.6047600402237542,0.25327537515511506,0.6854993135478081,0.013828837936405053
1.583846,True,228.01504740908007,115.16205788758198,1012.6253308635495,0.3135334541713331,-0.6361786489963003,0.26944153861316616,0.651440524488924,0.14734353567240624
1.5977370000000002,True,225.94827073305768,116.03620915896612,1011.7238710293391,0.3135082567367719,-0.6432821529497859,0.27651790624601946,0.6414347138871391,0.10346032700628047
1.6116300000000001,True,224.28843898679224,116.72224839328773,1010.7873871173286,0.31148928309679386,-0.650955031104343,0.28118670663295636,0.6325867608547471,0.08250953452528212
1.667204,True,218.90958398281805,119.29967273144092,1012.4374135328974,0.30152633775277726,-0.6813125972048503,0.302857130863574,0.5942832412381015,0.1573104861296863
1.681097,True,217.7590960754341,119.74376655499329,1010.5295368904617,0.2961770312370296,-0.6882923918541222,0.30516468121764606,0.587713592509722,0.10686051044171152
1.694991,True,216.59524801418516,120.28889148136771,1010.9954338117401,0.2929424740398382,-0.6950597122849775,0.30937179999759346,0.579107755627562,0.1723947354803117
1.7505650000000001,True,212.20670041040017,123.12105705705355,1012.012743418303,0.2801583358921193,-0.7188255449241726,0.3224140054263162,0.5484982697325345,0.11129004178771078
1.7644570000000002,True,210.62235985706042,123.50100068714715,1010.245823817251,0.27821031686115816,-0.7236990069585201,0.3232848860643797,0.54253631156044,0.1439884814591292
1.778351,True,210.08255374154263,124.72319014910725,1011.9510929880374,0.2769141291294596,-0.7274829968360185,0.32605620580463784,0.5364460877471678,0.07678058292267523
1.833926,True,205.43386132303814,127.68653228299769,1012.6425212430617,0.27140755720791565,-0.7408283119367128,0.32331841439225434,0.5224715810819868,0.13149578955808416
1.847818,True,204.16723505182918,128.22518725555759,1010.5617481991346,0.271579860667956,-0.740898883234736,0.3233303614399256,0.5222745460696147,0.09987282696402808
1.8617110000000001,True,202.6567811656539,128.90929284603487,1010.1469106620036,0.27151744512129206,-0.7419657744757239,0.3227763856889617,0.5211338324682212,0.1642911347357799
1.917287,True,196.2889189956478,130.63980469670074,1005.2943330675179,0.27800252503253614,-0.7333528495018229,0.32905495990511285,0.5259572487996867,0.13393226792940646
1.931178,True,194.6303995619879,131.13319652149576,1006.4547486916953,0.28199358135136354,-0.7293097657857145,0.33430331777716693,0.5261446353707283,0.11883353456486663
1.945072,True,192.32090160026635,131.32213995799506,1003.1777121314897,0.28761562412385444,-0.7220700401612841,0.3413372463213639,0.5285650330234455,0.14016734039989365
